Data Name (clickでcopy),Type,c_code,Category [jp],Category [en],cid(data id),Name [jp],Name [en]
soil_air_permeability,env,35000,土壌 物理性,Soil Physical Properties,35170,通気係数,Soil Air Permeability
soil_intrinsic_permeability,env,35000,土壌 物理性,Soil Physical Properties,35180,固有透過度,Soil Intrinsic Permeability
soil_gas_diffusivity,env,35000,土壌 物理性,Soil Physical Properties,35190,ガス拡散係数,Soil Gas Diffusivity
soil_thermal_conductivity,env,35000,土壌 物理性,Soil Physical Properties,35200,熱伝導率,Soil Thermal Conductivity
,,,,,,,
soil_humus_mass-fraction,env,36000,土壌 生物性,Soil Biological Properties,36000,土壌中腐植,Soil Humus Mass Fraction
soil_organic_matter_mass-fraction,env,36000,土壌 生物性,Soil Biological Properties,36010,土壌有機物,Soil Organic Matter Mass Fraction
alfa-glucosidase_activity,env,36000,土壌 生物性,Soil Biological Properties,36020,αグルコシダーゼ活性,Alfa Glucosidase Activity
beta-glucosidase_activity,env,36000,土壌 生物性,Soil Biological Properties,36030,βグルコシダーゼ活性,Beta Glucosidase Activity
Meloidogyne_hapla_num,env,36000,土壌 生物性,Soil Biological Properties,36040,キタネコブセンチュウ,Meloidogyne Hapla Num
Pratylenchus_penetrans_num,env,36000,土壌 生物性,Soil Biological Properties,36050,キタネグサレセンチュウ,Pratylenchus Penetrans Num
Pratylenchus_coffeae_num,env,36000,土壌 生物性,Soil Biological Properties,36060,ミナミネグサレセンチュウ,Pratylenchus Coffeae Num
Actinomycetes_num,env,36000,土壌 生物性,Soil Biological Properties,36070,放線菌,Actinomycetes Num
Filamentous_fungi_num,env,36000,土壌 生物性,Soil Biological Properties,36080,糸状菌,Filamentous Fungi Num
Echerichia_coli_num,env,36000,土壌 生物性,Soil Biological Properties,36090,大腸菌,Escherichia Coli Num
Salmonella_num,env,36000,土壌 生物性,Soil Biological Properties,36100,サルモネラ,Salmonella Num
Verticillium_num,env,36000,土壌 生物性,Soil Biological Properties,36110,バーティシリウム,Verticillium Num
Streptomyces_num,env,36000,土壌 生物性,Soil Biological Properties,36120,馬鈴しょそうか病,Streptomyces Num
,,,,,,,
cation_exchange_capacity,env,40000,土壌 化学性,Soil Chemical Properties,40000,CEC,Cation Exchange Capacity
soil_electrical_conductivity,env,40000,土壌 化学性,Soil Chemical Properties,40100,土壌EC,Soil EC
soil_EC,env,,,,40100,土壌EC,Soil EC
soil_electrical_conductivity_depth5cm,env,40000,土壌 化学性,Soil Chemical Properties,40105,土壌EC (深度5cm),Soil EC (5cm)
soil_electrical_conductivity_depth10cm,env,40000,土壌 化学性,Soil Chemical Properties,40110,土壌EC (深度10cm),Soil EC (10cm)
soil_electrical_conductivity_depth1cm,env,40000,土壌 化学性,Soil Chemical Properties,40115,土壌EC (深度15cm),Soil EC (15cm)
